order_id,date,product,category,quantity,unit_price,region,payment_method,customer_id,total_price,month,year
ORD-2065,2023-07-21,Mouse,Accessories,5,32.33,Central,Cash,CUST-443,161.65,July,2023
ORD-1695,2023-06-08,USB Hub,Accessories,2,32.26,West,PayPal,CUST-260,64.52,June,2023
ORD-1899,2023-11-17,Notebook,Office,4,18.65,South,Cash,CUST-341,74.6,November,2023
ORD-1770,2023-05-01,Webcam,Electronics,8,75.44,South,Credit Card,CUST-181,603.52,May,2023
ORD-1743,2023-12-20,Charger,Accessories,6,23.25,North,Bank Transfer,CUST-424,139.5,December,2023
ORD-1346,2023-02-09,Keyboard,Accessories,6,68.79,West,Cash,CUST-242,412.74,February,2023
ORD-1239,2023-08-03,Keyboard,Accessories,3,57.51,Central,Cash,CUST-285,172.53,August,2023
ORD-1464,2023-10-26,Webcam,Electronics,10,77.81,West,Debit Card,CUST-242,778.1,October,2023
ORD-1405,2023-11-11,Laptop,Electronics,3,959.09,East,Cash,CUST-247,2877.27,November,2023
ORD-1986,2023-08-28,Desk Lamp,Office,2,40.88,North,Debit Card,UNKNOWN,81.76,August,2023
ORD-1706,2023-01-25,Charger,Accessories,4,28.4,North,Debit Card,CUST-192,113.6,January,2023
ORD-1572,2023-04-24,Monitor,Electronics,5,320.82,East,Cash,CUST-128,1604.1,April,2023
ORD-1065,2023-03-17,Webcam,Electronics,7,66.29,East,Debit Card,CUST-492,464.03,March,2023
ORD-1044,2023-08-21,Charger,Accessories,9,34.81,North,Cash,CUST-171,313.29,August,2023
ORD-2098,2023-09-03,Laptop,Electronics,9,956.64,Central,PayPal,CUST-159,8609.76,September,2023
ORD-1526,2023-07-06,Keyboard,Accessories,2,51.08,Central,Credit Card,CUST-377,102.16,July,2023
ORD-2159,2023-12-20,Headphones,Accessories,4,92.35,South,Cash,CUST-360,369.4,December,2023
ORD-1477,2023-06-08,Monitor,Electronics,2,328.62,West,Bank Transfer,CUST-408,657.24,June,2023
ORD-1630,2023-09-21,Charger,Accessories,9,24.93,West,PayPal,CUST-110,224.37,September,2023
ORD-2045,2023-11-05,Headphones,Accessories,7,90.99,West,Cash,CUST-303,636.93,November,2023
ORD-2040,2023-06-23,Keyboard,Accessories,1,53.22,South,Credit Card,CUST-105,53.22,June,2023
ORD-1196,2023-09-04,Monitor,Electronics,7,327.05,Central,Bank Transfer,CUST-108,2289.35,September,2023
ORD-1231,2023-02-05,USB Hub,Accessories,4,33.25,North,Debit Card,CUST-265,133.0,February,2023
ORD-1832,2023-12-25,USB Hub,Accessories,6,36.91,East,Bank Transfer,CUST-325,221.46,December,2023
ORD-1333,2023-02-24,Monitor,Electronics,1,322.95,North,PayPal,CUST-500,322.95,February,2023
ORD-2068,2023-10-31,Headphones,Accessories,1,86.31,South,Credit Card,CUST-483,86.31,October,2023
ORD-1394,2023-02-07,Monitor,Electronics,9,325.14,West,Credit Card,CUST-489,2926.26,February,2023
ORD-1342,2023-06-23,Laptop,Electronics,7,953.29,West,Bank Transfer,UNKNOWN,6673.03,June,2023
ORD-1198,2023-02-25,Monitor,Electronics,7,334.35,Central,Credit Card,CUST-183,2340.45,February,2023
ORD-2142,2023-12-13,Headphones,Accessories,9,81.48,North,Bank Transfer,CUST-282,733.32,December,2023
ORD-1365,2023-12-02,Headphones,Accessories,9,79.75,West,Cash,CUST-466,717.75,December,2023
ORD-1184,2023-08-05,Webcam,Electronics,2,76.78,East,PayPal,CUST-389,153.56,August,2023
ORD-2026,2023-02-07,USB Hub,Accessories,10,41.07,East,Credit Card,CUST-174,410.7,February,2023
ORD-1128,2023-10-27,Laptop,Electronics,4,960.95,South,Credit Card,CUST-103,3843.8,October,2023
ORD-1923,2023-11-30,Webcam,Electronics,3,69.4,South,Cash,CUST-428,208.2,November,2023
ORD-1056,2023-10-17,Laptop,Electronics,3,947.61,Central,Credit Card,CUST-267,2842.83,October,2023
ORD-1051,2023-01-11,Notebook,Office,2,21.08,West,Debit Card,CUST-416,42.16,January,2023
ORD-1240,2023-08-21,USB Hub,Accessories,9,44.64,South,Credit Card,CUST-149,401.76,August,2023
ORD-2176,2023-05-29,Headphones,Accessories,4,84.63,West,PayPal,CUST-446,338.52,May,2023
ORD-1671,2023-06-20,Notebook,Office,5,10.44,North,Debit Card,CUST-419,52.2,June,2023
ORD-1442,2023-07-18,Mouse,Accessories,4,26.11,Central,Debit Card,CUST-143,104.44,July,2023
ORD-2146,2023-05-16,Webcam,Electronics,9,81.7,West,Credit Card,CUST-334,735.3,May,2023
ORD-1221,2023-12-26,Mouse,Accessories,1,39.38,East,Credit Card,CUST-199,39.38,December,2023
ORD-1023,2023-07-28,Monitor,Electronics,4,324.32,North,PayPal,CUST-379,1297.28,July,2023
ORD-1423,2023-08-19,Laptop,Electronics,1,952.73,South,PayPal,CUST-308,952.73,August,2023
ORD-1667,2023-12-03,Mouse,Accessories,6,36.3,Central,Credit Card,CUST-252,217.8,December,2023
ORD-1297,2023-03-08,Notebook,Office,9,16.79,West,Credit Card,UNKNOWN,151.11,March,2023
ORD-1043,2023-03-04,Laptop,Electronics,9,950.2,Central,Debit Card,CUST-120,8551.8,March,2023
ORD-2115,2023-08-03,Mouse,Accessories,10,30.04,South,PayPal,CUST-184,300.4,August,2023
ORD-1712,2023-08-12,Mouse,Accessories,1,24.97,North,Bank Transfer,CUST-395,24.97,August,2023
ORD-1771,2023-11-27,Mouse,Accessories,9,34.04,Central,Bank Transfer,CUST-239,306.36,November,2023
ORD-1852,2023-02-14,Mouse,Accessories,10,20.51,Central,Debit Card,CUST-466,205.1,February,2023
ORD-1081,2023-10-29,Monitor,Electronics,5,319.29,West,Bank Transfer,CUST-409,1596.45,October,2023
ORD-1063,2023-04-30,Headphones,Accessories,10,91.25,South,Credit Card,CUST-213,912.5,April,2023
ORD-1123,2023-02-03,Notebook,Office,10,23.35,North,Debit Card,CUST-133,233.5,February,2023
ORD-2052,2023-03-12,USB Hub,Accessories,3,35.81,South,Debit Card,CUST-476,107.43,March,2023
ORD-1078,2023-01-08,USB Hub,Accessories,7,30.59,West,PayPal,CUST-351,214.13,January,2023
ORD-1983,2023-03-23,Charger,Accessories,2,21.63,West,Bank Transfer,CUST-125,43.26,March,2023
ORD-1277,2023-12-08,Desk Lamp,Office,7,32.95,South,PayPal,CUST-345,230.65,December,2023
ORD-2093,2023-10-24,Monitor,Electronics,2,316.53,East,Bank Transfer,CUST-463,633.06,October,2023
ORD-1754,2023-02-08,Webcam,Electronics,2,72.27,Central,Cash,CUST-307,144.54,February,2023
ORD-1585,2023-04-25,USB Hub,Accessories,6,34.57,West,Debit Card,CUST-114,207.42,April,2023
ORD-1352,2023-04-10,Headphones,Accessories,9,81.88,East,Credit Card,UNKNOWN,736.92,April,2023
ORD-1254,2023-12-12,Keyboard,Accessories,7,53.8,South,PayPal,CUST-183,376.6,December,2023
ORD-1708,2023-06-19,Notebook,Office,3,15.46,South,Bank Transfer,CUST-421,46.38,June,2023
ORD-1716,2023-06-23,Charger,Accessories,10,31.78,North,Credit Card,CUST-480,317.8,June,2023
ORD-2077,2023-09-01,Keyboard,Accessories,5,66.8,South,PayPal,CUST-443,334.0,September,2023
ORD-1374,2023-12-15,USB Hub,Accessories,4,43.92,North,Bank Transfer,CUST-209,175.68,December,2023
ORD-1210,2023-12-12,Charger,Accessories,1,27.78,Central,Debit Card,CUST-284,27.78,December,2023
ORD-1244,2023-06-09,Monitor,Electronics,5,326.88,South,Cash,CUST-173,1634.4,June,2023
ORD-1741,2023-08-07,Desk Lamp,Office,10,38.07,East,Credit Card,CUST-263,380.7,August,2023
ORD-1548,2023-08-03,USB Hub,Accessories,3,31.76,South,Cash,CUST-461,95.28,August,2023
ORD-2047,2023-07-25,Notebook,Office,7,22.03,South,Credit Card,CUST-208,154.21,July,2023
ORD-1032,2023-07-05,Keyboard,Accessories,3,63.72,West,Bank Transfer,CUST-393,191.16,July,2023
ORD-1076,2023-01-14,Keyboard,Accessories,1,66.43,Central,Credit Card,CUST-301,66.43,January,2023
ORD-1339,2023-02-10,Headphones,Accessories,9,87.46,South,Credit Card,CUST-194,787.14,February,2023
ORD-1756,2023-11-23,Desk Lamp,Office,5,29.46,Central,Credit Card,CUST-158,147.3,November,2023
ORD-1478,2023-10-14,USB Hub,Accessories,6,44.43,Central,Cash,CUST-307,266.58,October,2023
ORD-1912,2023-11-16,Desk Lamp,Office,1,28.07,North,Bank Transfer,CUST-315,28.07,November,2023
ORD-2006,2023-08-29,Charger,Accessories,10,21.03,South,Debit Card,CUST-204,210.3,August,2023
ORD-2069,2023-06-22,Laptop,Electronics,4,952.29,North,Cash,CUST-123,3809.16,June,2023
ORD-1220,2023-05-20,Monitor,Electronics,4,329.65,North,Cash,CUST-363,1318.6,May,2023
ORD-1306,2023-02-06,Notebook,Office,2,14.53,East,Bank Transfer,CUST-453,29.06,February,2023
ORD-1828,2023-06-03,Notebook,Office,5,17.65,Central,Credit Card,CUST-154,88.25,June,2023
ORD-1893,2023-05-09,Charger,Accessories,6,25.93,East,Bank Transfer,CUST-308,155.58,May,2023
ORD-1467,2023-06-29,Mouse,Accessories,6,34.22,South,Credit Card,CUST-492,205.32,June,2023
ORD-1438,2023-03-23,Keyboard,Accessories,2,62.02,Central,PayPal,CUST-324,124.04,March,2023
ORD-1885,2023-03-24,Mouse,Accessories,6,32.41,South,Debit Card,CUST-252,194.46,March,2023
ORD-2119,2023-04-15,Webcam,Electronics,1,77.28,West,Credit Card,CUST-491,77.28,April,2023
ORD-1218,2023-01-15,Charger,Accessories,10,15.03,North,Credit Card,CUST-427,150.3,January,2023
ORD-1101,2023-11-11,Desk Lamp,Office,10,40.64,South,Cash,CUST-210,406.4,November,2023
ORD-1542,2023-08-14,Desk Lamp,Office,4,30.47,Central,Cash,CUST-116,121.88,August,2023
ORD-1589,2023-11-29,Notebook,Office,6,16.79,West,Bank Transfer,CUST-287,100.74,November,2023
ORD-1558,2023-10-11,Charger,Accessories,7,21.44,North,Debit Card,CUST-156,150.08,October,2023
